    ars    |                           gen                           |                                    st_extent                                     
 082110000 | Baden-Baden                                             | BOX(8.10881198120299 48.66674708182646,8.320981846332952 48.84758676274449)
 065340003 | Bad Endbach                                             | BOX(8.433890512445043 50.722021060911864,8.524292720844336 50.81548200068322)
 091870128 | Bad Endorf                                              | BOX(12.233301279125952 47.865961947615354,12.364212594998879 47.93867351903603)
 034590003 | Bad Essen                                               | BOX(8.290541027812147 52.27155004427515,8.472149144049173 52.38463785823481)
 033580008 | Bad Fallingbostel                                       | BOX(9.658225035743401 52.83858902461938,9.860748073300167 52.9576956777364)
 091870129 | Bad Feilnbach                                           | BOX(11.915883033563713 47.73582049707698,12.067438186826525 47.83416809665938)
 160650003 | Bad Frankenhausen/Kyffhäuser                            | BOX(11.054597785944967 51.310772361626015,11.252105314410574 51.41368536881588)
 120640044 | Bad Freienwalde (Oder)                                  | BOX(13.977393890482725 52.72743370430234,14.161595565910986 52.903294496170844)
 081255001 | Bad Friedrichshall                                      | BOX(9.157330936977722 49.205977818333565,9.312384426458218 49.27711206947858)
 092750116 | Bad Füssing                                             | BOX(13.213065900388443 48.29294958123783,13.400311917218291 48.388079300379324)
 031550001 | Bad Gandersheim                                         | BOX(9.928150416433473 51.825207130864605,10.118219953684639 51.947798652064286)
 146285202 | Bad Gottleuba-Berggießhübel                             | BOX(13.807150156740734 50.78862195056103,14.039549449582593 50.92978396816371)
 092750124 | Bad Griesbach i. Rottal                                 | BOX(13.11507755688873 48.40565905605907,13.26884901425716 48.532946820463174)
 097785768 | Bad Grönenbach                                          | BOX(10.158431308707314 47.83924339854398,10.306113064284702 47.95230577125182)
 031590002 | Bad Grund (Harz)                                        | BOX(10.142301065897016 51.751244458661915,10.263467338104858 51.833176552594956)
 031530002 | Bad Harzburg                                            | BOX(10.489033140796618 51.8216053653916,10.650466518096716 51.93747272018678)
 091730111 | Bad Heilbrunn                                           | BOX(11.398000726382348 47.71740418200593,11.49930048047323 47.79213216510327)
 082355003 | Bad Herrenalb                                           | BOX(8.37936700584564 48.74358898436398,8.532994502569556 48.83536789448345)
 066320002 | Bad Hersfeld                                            | BOX(9.612866102450312 50.81370777283701,9.829192566209496 50.90960950712364)
 097800123 | Bad Hindelang                                           | BOX(10.321877543264021 47.37026947707741,10.475964913968614 47.56113447980689)
 064340001 | Bad Homburg v.d. Höhe                                   | BOX(8.496146051120576 50.200669910165885,8.712380313980312 50.274665886994455)
 053820008 | Bad Honnef                                              | BOX(7.19962580705334 50.62336781005688,7.362946105954484 50.686907842681926)
 071385002 | Bad Hönningen                                           | BOX(7.291692287007176 50.443104333546714,7.409100157567811 50.55834595655423)
 034590004 | Bad Iburg                                               | BOX(7.997386119836473 52.11305453512407,8.11378941527273 52.17858796393688)
