  ars  |                gen                |                                    st_extent                                     
 14522 | Mittelsachsen                     | BOX(12.617354751069186 50.63364300565828,13.652173819600524 51.234662034276006)
 05116 | Mönchengladbach                   | BOX(6.291135663811776 51.08596359865806,6.537117808223305 51.2478491629858)
 09183 | Mühldorf a. Inn                   | BOX(12.032141516260003 48.08308210110855,12.609472207096221 48.42967570997561)
 05117 | Mülheim an der Ruhr               | BOX(6.804930922402685 51.35124100020716,6.959254577963725 51.47128542253298)
 09162 | München                           | BOX(11.360877208388954 48.061553773584585,11.72308253327021 48.24814577602211)
 09184 | München                           | BOX(11.385188521839643 47.917014349535364,11.852084666936 48.299545801297384)
 05515 | Münster                           | BOX(7.473962942770499 51.84019115132987,7.774221787742104 52.060175509627605)
 08225 | Neckar-Odenwald-Kreis             | BOX(8.937966286994317 49.27171448240118,9.603822915753083 49.66350784853561)
 09185 | Neuburg-Schrobenhausen            | BOX(10.947425369912906 48.463677306604524,11.457420273537743 48.82293482569923)
 09373 | Neumarkt i.d. OPf.                | BOX(11.185988266934576 48.951497125261575,11.942517099736685 49.4324781150978)
 01004 | Neumünster                        | BOX(9.92568089205302 54.01749028765027,10.058318227870213 54.149884828268604)
 10043 | Neunkirchen                       | BOX(6.916913596217148 49.287300581515076,7.292601446301563 49.441271831719256)
 09575 | Neustadt a.d. Aisch-Bad Windsheim | BOX(10.069613723286722 49.410086539109145,10.82142999948739 49.756260064276326)
 09374 | Neustadt a.d. Waldnaab            | BOX(11.628742610232358 49.50390547543115,12.593778437276137 49.85621029091704)
 07316 | Neustadt an der Weinstraße        | BOX(7.999564369745268 49.296083233098834,8.317406155459564 49.40088769249512)
 09775 | Neu-Ulm                           | BOX(9.967275614675962 48.108459268124186,10.315164180838968 48.47750435493734)
 07138 | Neuwied                           | BOX(7.209976780497048 50.4117278908404,7.71147269582162 50.71821864136498)
 03256 | Nienburg (Weser)                  | BOX(8.698548986054709 52.38787222298888,9.537840543017978 52.90953407604633)
 01054 | Nordfriesland                     | BOX(8.278555583726117 54.26197778793071,9.327241684932668 55.05877771563171)
 16062 | Nordhausen                        | BOX(10.470577173847834 51.36447066523801,10.979680169925567 51.64900827383965)
 14730 | Nordsachsen                       | BOX(12.148672567054438 51.19968807820084,13.216635542460507 51.68497371608557)
 13074 | Nordwestmecklenburg               | BOX(10.747711196461857 53.56643671852903,11.810478223440949 54.03407850696659)
