     ars      |                 gen                  |                                    st_extent                                     
 130715163004 | Altentreptow                         | BOX(13.16877686987465 53.64917478881567,13.316798096213725 53.749220634214964)
 071405003001 | Alterkülz                            | BOX(7.430992534873327 50.01724540649327,7.489739837448804 50.0456984584355)
 096795651165 | Altertheim                           | BOX(9.711136136565056 49.687739764649116,9.799345100635412 49.74970834343971)
 092745226114 | Altfraunhofen                        | BOX(12.143959071433144 48.42394523626975,12.23372998473059 48.47472469140068)
 091795131114 | Althegnenberg                        | BOX(11.037299107824252 48.2005935059628,11.117147559088608 48.25737112237659)
 084255001004 | Altheim                              | BOX(9.742505427450636 48.319128967515255,9.800254708030232 48.34759768754347)
 084265007008 | Altheim                              | BOX(9.34976907163 48.090434166032715,9.469381110641654 48.1613546979108)
 084255008005 | Altheim (Alb)                        | BOX(9.960373683200988 48.55043325757272,10.060654994672165 48.60748487016802)
 082355002007 | Althengstett                         | BOX(8.738332424092276 48.70502720116613,8.825260589963289 48.75816870001901)
 073405008201 | Althornbach                          | BOX(7.34350623458345 49.19383760386577,7.403038342553848 49.21830931446192)
 081195001004 | Althütte                             | BOX(9.515812536122121 48.89813588549354,9.59623422157031 48.95869040892173)
 120605006012 | Althüttendorf                        | BOX(13.777860596629857 52.92810979202039,13.859702527502604 52.98867499510018)
 130725254004 | Altkalen                             | BOX(12.657284117469041 53.86025599162442,12.802362918342023 53.93584967720427)
 130765659001 | Alt Krenzlin                         | BOX(11.219633652779018 53.27089329068244,11.360261785305637 53.344445913184934)
 120640029029 | Altlandsberg                         | BOX(13.668374148776785 52.53983163400503,13.939000284678377 52.647532031994935)
 071355005003 | Altlay                               | BOX(7.244988451280798 49.97024088722254,7.290854412948807 49.995689354178616)
 073325007001 | Altleiningen                         | BOX(8.039962983640834 49.47489305516691,8.117054036697846 49.534106307968024)
 082265004003 | Altlußheim                           | BOX(8.45048452093735 49.262575653952304,8.552593152636168 49.33209034567062)
 091760112112 | Altmannstein                         | BOX(11.507248180645007 48.85783757772076,11.744115296556156 48.96100664257513)
 150905053007 | Altmärkische Höhe                    | BOX(11.468816532162055 52.768931164260685,11.722615877159754 52.895442405213366)
 150905053008 | Altmärkische Wische                  | BOX(11.751345049196813 52.83119576418218,11.967320353746475 52.90859241535061)
 130745455001 | Alt Meteln                           | BOX(11.289783592922662 53.69932147127875,11.3721375952708 53.7711836150011)
 145225119010 | Altmittweida                         | BOX(12.911387661069636 50.94312854670818,12.98527161096873 50.98363023423316)
 010535313002 | Alt-Mölln                            | BOX(10.639942724563973 53.602187488833856,10.674695127833093 53.6493935054882)
 091740111111 | Altomünster                          | BOX(11.161468852405322 48.33838077938612,11.331712896036 48.44178321646408)
 091710111111 | Altötting                            | BOX(12.60773591333083 48.19968814298211,12.731496731097476 48.254191206893864)
 072315008001 | Altrich                              | BOX(6.858760912563782 49.920481109491206,6.934326814605252 49.97157066569084)
 073385008001 | Altrip                               | BOX(8.45211377404862 49.40808381012741,8.50835743081298 49.444053025678166)
 072325005003 | Altscheid                            | BOX(6.360771942267665 50.00498496716858,6.414624223086435 50.03934439531836)
 130715154001 | Alt Schwerin                         | BOX(12.288942269062234 53.47797234824503,12.378219521058393 53.57757997429931)
 084365001005 | Altshausen                           | BOX(9.51511040594515 47.898378885889166,9.606813613805059 47.95619495455365)
 071355005004 | Altstrimmig                          | BOX(7.27389168076965 50.06781229143981,7.321063708028584 50.11995938279165)
 130725258003 | Alt Sührkow                          | BOX(12.591645854868583 53.76852349693342,12.704431281131725 53.82848366372602)
 130755554002 | Alt Tellin                           | BOX(13.185201266840002 53.807615271343025,13.287107128370627 53.85992132843344)
 120645404009 | Alt Tucheband                        | BOX(14.441449968650549 52.49863095420378,14.601178605417772 52.55778690160625)
 097800112112 | Altusried                            | BOX(10.064681025461798 47.74360271327813,10.290070173281661 47.84063048431194)
 130755552003 | Altwarp                              | BOX(14.215783823530034 53.71294334275727,14.28359583412528 53.80011566962142)
 071405008002 | Altweidelbach                        | BOX(7.542209613135928 49.986511769160984,7.583169992137744 50.0118506293984)
 130755559004 | Altwigshagen                         | BOX(13.734219641266337 53.67531873223627,13.86273071814482 53.729281237434336)
 130765658002 | Alt Zachun                           | BOX(11.307560003989138 53.47555480427091,11.357237678662305 53.51430995469852)
 120615113005 | Alt Zauche-Wußwerk                   | BOX(13.979770433138192 51.87830502255569,14.09216656429475 51.94430732505076)
 010605043002 | Alveslohe                            | BOX(9.867221344576373 53.76446458093221,9.97042311982628 53.81703611094815)
 096710111111 | Alzenau                              | BOX(9.020941747222876 50.04078233110732,9.156410343391999 50.126624041925695)
 073310003003 | Alzey                                | BOX(8.040381826087646 49.72007472428553,8.166244259979239 49.772449069135625)
 093610000000 | Amberg                               | BOX(11.776674185150593 49.41182622089648,11.914553735456899 49.497060744352)
 097785764111 | Amberg                               | BOX(10.66377643168919 48.047507882077426,10.70789369773146 48.09804565058975)
